Sample	Cluster
2020_12_65a2ea33d36771f1	125
2020_12_6b105284cc479cec	108
2020_12_9dc5caba5a6d952c	74
2020_12_a826a9ba28d1dca6	141
2020_12_c699ff1d5ab6f2c5	34
2020_12_cb02050535f06240	137
2020_12_d248c8c6e11aa232	137
2020_12_f340640dee70af08	136
2021_01_00e39b26479c85c8	145
2021_01_43be72bb7f7f8ed4	145
2021_01_4aba59b617815fc0	57
2021_01_63be8cdf62037a7f	108
2021_01_6cda170311736036	146
2021_01_7bd2df2a80c352c5	36
2021_01_9a83143fab7baefe	108
2021_01_a072433af5feffce	17
2021_01_a4fb5d9d3eb9ce3c	67
2021_01_b101dde14d07844d	6
2021_01_c1fb3038ddb8ceef	18
2021_01_c685a299368b8cf9	13
2021_01_e84b98cfb261f590	0
2021_01_f36386a8d18eb0dc	57
2021_01_fb5017ac87ae9caf	67
2021_02_0121ed311572bbae	90
2021_02_1936ceff575445fa	90
2021_02_1de8780ebc8ad193	145
2021_02_7585dd4d8186c912	6
2021_02_821ed20aa859cd00	99
2021_02_85f27d075802abd3	91
2021_02_f946df1a8fc9650c	110
2021_03_2f199c53b95dcbe2	131
2021_03_4962fb6b7d2c7988	108
2021_03_52eadd2316e069ff	111
2021_03_6e2ffa70878c9949	21
2021_03_7e8666f9f442b26f	31
2021_03_87b059850a929e3c	57
2021_03_9e9e68ae5642db27	90
2021_03_a1e16b324057e686	100
2021_03_efb46f5f6ce55476	17
2021_04_21e3c47735511f7b	18
2021_04_24ac1d3079a48ad5	41
2021_04_37af47b717f88920	108
2021_04_432f1e3d17ebf7c5	34
2021_04_486981c4b7d6eb06	63
2021_04_751d205e139ce80f	145
2021_04_751db6e5b4b2d692	18
2021_04_ab88c9ef481602da	145
2021_04_ae34bccd7c23cb6a	145
2021_04_d6843fa9154a3582	108
2021_04_f2d195ad6731a4d8	40
2021_06_08e5bf1eabe9c4ba	132
2021_06_160ef6ef43b5e47b	90
2021_06_2e154d811b06b495	64
2021_06_8d2b986bbf7b41af	108
2021_06_965c6bd7e58cd783	108
2021_06_97b17cc917409949	78
2021_06_ec84b4cb3150012b	108
2021_07_1ac90ab078976440	114
2021_07_5f52515243ea501e	108
2021_07_73b17cc1582eaac0	83
2021_07_b37f22cc76d11869	32
2021_07_f2863a7e449daa18	78
2021_08_0714478bc91dc88a	147
2021_08_57ac8f8c2167febf	86
2021_08_811a0cdbacb7694b	147
2021_08_92bad45b3d1a7c97	80
2021_08_9a596a76cf1c5f95	80
2021_08_c953ba0498af6043	83
2021_08_f8cb0efe741afafb	101
2021_09_3a7c8a1d8f82c0a7	148
2021_09_6877fc4ba6306a7a	0
2021_09_78bce396347f4fd3	9
2021_09_8881e6d6064ff0df	84
2021_09_ac097afc71bdc97b	18
2021_09_df7af9a9de14a13b	78
2021_09_fb530340cb9f6818	108
2021_10_73cd332594b73c7e	148
2021_10_7b6a5a9fe48a2228	90
2021_10_ec81b40b3a9dde59	90
2021_11_0080a612686f4e2f	19
2021_11_1d2652e7a3d1932e	46
2021_11_69857a204e6764e4	85
2021_11_ce560c9d0274b639	3
2021_11_e0f93d437360dbd8	15
2021_11_efbc3cc1615eeecd	5
2021_12_265f56e6c6b9980b	86
2021_12_87c71623c92482f8	115
2021_12_aeff9f19ee1fa123	37
2021_12_be1b325d0e9113e4	86
2021_12_c251a5c0ad4757e2	80
2021_12_c2823e3a5a98b3ef	0
2022_01_07d6ca4a46da6689	87
2022_01_1e367dd6d01c9e59	87
2022_01_206adc591da20f17	0
2022_01_34429bb3ab50f1ea	46
2022_01_53f13dc976aac7fe	87
2022_01_54fc102b7b775450	2
2022_01_569156b45e4a2843	46
2022_01_58ce2f9a339af60a	0
2022_01_626ccafb81e6b8e8	87
2022_01_73754b3f497f8642	103
2022_01_75c4ae3266ba8766	73
2022_01_7b0451015c4d190f	87
2022_01_81f4329e7d66e2fa	80
2022_01_823b69dd2431c15b	0
2022_01_b02b63cec4319d13	87
2022_01_e05c348252577e3a	87
2022_01_e0fc39b803a0e98d	57
2022_01_e429022537bae017	87
2022_01_e46999f129316df5	0
2022_01_e670d15004918a08	39
2022_01_eb26847b73040570	0
2022_01_f3eb7c84956ebf04	141
2022_02_39db16b60c67c5ef	123
2022_02_6b379ebe8c65486c	87
2022_02_6c68defc61fdc2fa	87
2022_02_a1c54ace27fe86f9	35
2022_02_abc12057445ddbdc	108
2022_02_bb595af156336a5d	57
2022_02_ee72e80089e36d3a	87
2022_03_04e6ff441e6f67ae	102
2022_03_3af0876b54a75243	19
2022_04_03840cd8f06f5908	87
2022_04_03d2d8b3b0ddabf0	32
2022_04_3b491fbd7400126b	87
2022_04_4ffbc6fe919735c9	39
2022_04_518b5467bd42f3e7	14
2022_04_9265485bc262a335	148
2022_04_a85b2471c1b9cf8c	19
2022_05_885c892daae9a14c	19
2022_05_894af455f4ef6437	87
2022_05_e6dfdf7a08852202	122
2022_05_faba3136fe97d045	0
2022_06_1a54af952f85ba60	87
2022_06_2c371628ea8d83bf	0
2022_06_4edeb38c6b756de9	108
2022_06_a77b432a218079e6	122
2022_06_bd05224ce1f59111	23
2022_06_cb51ae5fd2034798	138
2022_07_3003487de9b69ec0	0
2022_07_4e4a0fe6a20896a0	139
2022_07_eb35830667ed7c34	0
2022_08_0522a04ab02e4fb3	138
2022_08_07e7e73db3107040	49
2022_08_34ac209786bf4bd1	138
2022_08_589953f682a97f22	138
2022_08_597bedd276cc6773	86
2022_08_5b4c2eb1b3603688	4
2022_08_a82e5cd920432d33	138
2022_08_bb38d72d777bcfbe	138
2022_08_bc6ad58acaf06c7a	138
2022_08_c3635bdc70a38d20	81
2022_08_e4d4d375738b9c02	116
2022_08_f835767a856543cb	0
2022_09_afd5ee0614d8ed81	87
2022_10_535c8e1ade23e461	1
2022_12_3a9c98d58f931971	87
2023_01_48b7f6729e1bf9d7	97
2023_01_8eda71ba81807f2b	104
2023_01_92217a5141a91480	94
2023_02_07384eaf53e3f80d	51
2023_02_4b15c5635f24e6e3	81
2023_03_08b384b097bb8409	57
2023_03_225ff4475bc2988e	59
2023_03_380f6ea20aa05348	97
2023_03_62be4080faa2f719	134
2023_03_6df773ac97650484	57
2023_03_8eb0038b0d5d9b44	55
2023_03_9cea285f8fb41af0	82
2023_04_8297f3ef17a0757c	70
2023_04_cc51dc41cfb3f4c4	97
2023_04_f42a6353f56b7340	51
2023_05_a45bf766731031b3	81
2023_05_befd0553d8d69866	51
2023_05_da061ac812de3926	60
2023_06_e041993ade5fd3be	88
2023_06_f3fbf84e0c259791	51
2023_07_31a6c39dbcfec85b	52
2023_07_88aa64d01508fca6	116
2023_07_9c0574f89e35f2bd	29
2023_08_0c2b9cb984faf028	29
2023_08_73e9e2bb0f2169b6	63
2023_08_d2ce3038e827c97e	29
2023_08_d9f4904b39e29bb0	29
2023_08_ef9e6f40a4e0a378	29
2023_09_685d0c13aaa518e0	116
2023_10_16ceb489e574d767	50
2024_02_93c629d8fe6e763d	61
2024_02_c6126f4b433122b8	130
2024_02_cdcde0f569edf7e5	53
2024_02_f8b2b14623698f2a	89
2024_04_2f6f9fdf1f10e3f3	81
2024_04_3f1aa0f647df6628	124
2024_06_776a2e219b067b44	56
2024_07_0c369a69923d2001	56
2024_07_d20fd30919d2fe1d	62
